latency_0,latency_1,latency_2,latency_3,latency_4,ms
6,6,6,6,6,89.982
6,6,6,6,1,89.77099999999999
6,6,6,1,6,89.757
6,1,6,6,6,89.629
6,6,1,6,6,89.57600000000001
6,6,6,1,1,89.41600000000001
6,1,6,1,6,89.38900000000001
6,6,1,6,1,89.362
6,1,6,6,1,89.26599999999999
6,6,1,1,6,89.245
1,6,6,6,6,89.18900000000001
6,1,6,1,1,89.066
6,1,1,6,6,89.062
6,6,1,1,1,89.037
1,6,6,6,1,88.89099999999999
1,6,6,1,6,88.87700000000001
1,1,6,6,6,88.83
6,1,1,1,6,88.80499999999999
6,1,1,6,1,88.798
1,6,1,6,6,88.787
1,6,1,6,1,88.541
1,6,6,1,1,88.53300000000002
1,1,6,1,6,88.511
1,1,6,6,1,88.50999999999999
6,1,1,1,1,88.506
1,6,1,1,6,88.46900000000001
1,1,1,6,6,88.45
1,6,1,1,1,88.22299999999998
1,1,1,1,6,88.202
1,1,6,1,1,88.183
1,1,1,6,1,88.172
1,1,1,1,1,87.77099999999999
11,11,11,11,11,109.624
11,1,11,11,11,108.558
11,11,1,11,11,108.48699999999998
1,11,11,11,11,107.369
11,1,1,11,11,107.127
11,11,11,11,1,105.09500000000001
11,11,11,1,11,104.97099999999999
11,11,1,11,1,104.01400000000001
11,1,11,11,1,103.97400000000002
11,1,11,1,11,103.968
11,11,1,1,11,103.709
1,1,11,11,11,102.823
1,11,1,11,11,102.72499999999998
11,1,1,11,1,102.607
11,1,1,1,11,102.54599999999999
1,11,11,11,1,102.54299999999999
1,11,11,1,11,102.17699999999999
11,11,11,1,1,100.36
11,1,11,1,1,99.42399999999999
11,11,1,1,1,99.285
11,1,1,1,1,98.018
1,1,1,11,11,97.967
1,11,1,11,1,97.79899999999998
1,1,11,11,1,97.71300000000001
1,1,11,1,11,97.703
1,11,1,1,11,97.33800000000001
1,11,11,1,1,97.167
1,1,1,11,1,93.065
1,1,1,1,11,92.833
1,1,11,1,1,92.619
1,11,1,1,1,92.55700000000002
11,6,11,11,11,108.91499999999999
11,11,6,11,11,108.79499999999999
6,11,11,11,11,108.58999999999999
11,6,6,11,11,107.844
11,1,6,11,11,107.524
11,6,1,11,11,107.486
11,11,11,11,6,105.396
11,11,11,6,11,105.318
11,11,6,11,6,104.644
11,6,11,6,11,104.643
11,6,11,11,6,104.613
11,11,6,6,11,104.492
11,1,11,11,6,104.325
11,6,11,1,11,104.30799999999999
11,11,6,11,1,104.30399999999999
11,1,11,6,11,104.28699999999999
11,11,1,11,6,104.277
11,6,11,11,1,104.26599999999999
6,6,11,11,11,104.224
11,11,1,6,11,104.112
11,11,6,1,11,104.088
6,11,6,11,11,104.074
6,11,11,11,6,103.83099999999999
6,1,11,11,11,103.76599999999999
6,11,1,11,11,103.722
11,6,6,11,6,103.696
6,11,11,6,11,103.672
6,11,11,11,1,103.59599999999999
11,6,6,6,11,103.59100000000001
6,11,11,1,11,103.396
11,6,6,11,1,103.354
11,6,1,11,6,103.35
11,1,6,11,6,103.29
11,6,1,6,11,103.27699999999999
