freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,power_cpu,ms
1.5,1.0,3.0,6,6,6,6,6,35.751,109.551
1.6,1.0,3.0,6,6,6,6,6,38.108,106.369
1.7,1.0,3.0,6,6,6,6,6,40.386,103.775
1.8,1.0,3.0,6,6,6,6,6,42.61,101.53
1.9,1.0,3.0,6,6,6,6,6,45.021,99.228
2.0,1.0,3.0,6,6,6,6,6,47.411,96.944
2.1,1.0,3.0,6,6,6,6,6,49.573,95.636
2.2,1.0,3.0,6,6,6,6,6,51.833,94.062
2.3,1.0,3.0,6,6,6,6,6,54.131,92.674
2.4,1.0,3.0,6,6,6,6,6,56.423,91.448
2.5,1.0,3.0,6,6,6,6,6,58.842,90.03
2.6,1.0,3.0,6,6,6,6,6,61.029,89.119
2.7,1.0,3.0,6,6,6,6,6,63.478,87.999
2.8,1.0,3.0,6,6,6,6,6,65.71,87.093
2.9,1.0,3.0,6,6,6,6,6,67.975,86.183
3.0,1.0,3.0,6,6,6,6,6,70.4,85.315
