freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,power_gpu,ms
2.5,0.5,3.0,6,6,6,6,6,100.843,128.979
2.5,0.6,3.0,6,6,6,6,6,120.648,116.027
2.5,0.7,3.0,6,6,6,6,6,141.35,106.625
2.5,0.8,3.0,6,6,6,6,6,161.31,99.709
2.5,0.9,3.0,6,6,6,6,6,180.648,94.468
2.5,1.0,3.0,6,6,6,6,6,200.627,90.03
2.5,1.1,3.0,6,6,6,6,6,220.971,86.736
2.5,1.2,3.0,6,6,6,6,6,224.882,85.991
2.5,1.3,3.0,6,6,6,6,6,228.279,85.401
2.5,1.4,3.0,6,6,6,6,6,231.049,84.962
2.5,1.5,3.0,6,6,6,6,6,233.924,84.524
2.5,2.0,3.0,6,6,6,6,6,243.049,83.08
