freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
2.0,0.5,3.0,6,6,6,6,6,135.84300000000002
2.5,0.5,3.0,6,6,6,6,6,128.97899999999998
3.0,0.5,3.0,6,6,6,6,6,124.45299999999999

2.0,1.0,3.0,6,6,6,6,6,96.944
2.5,1.0,3.0,6,6,6,6,6,90.03
3.0,1.0,3.0,6,6,6,6,6,85.315

2.0,1.5,3.0,6,6,6,6,6,91.69800000000001
2.5,1.5,3.0,6,6,6,6,6,84.52399999999999
3.0,1.5,3.0,6,6,6,6,6,79.63499999999999

2.0,2.0,3.0,6,6,6,6,6,89.95199999999998
2.5,2.0,3.0,6,6,6,6,6,83.08
3.0,2.0,3.0,6,6,6,6,6,78.273

2.0,2.5,3.0,6,6,6,6,6,89.59100000000001
2.5,2.5,3.0,6,6,6,6,6,82.229
3.0,2.5,3.0,6,6,6,6,6,77.60400000000001

---

2.0,0.5,3.0,6,6,6,6,6,135.84300000000002
2.0,1.0,3.0,6,6,6,6,6,96.944
2.0,1.5,3.0,6,6,6,6,6,91.69800000000001
2.0,2.0,3.0,6,6,6,6,6,89.95199999999998
2.0,2.5,3.0,6,6,6,6,6,89.59100000000001

2.5,0.5,3.0,6,6,6,6,6,128.97899999999998
2.5,1.0,3.0,6,6,6,6,6,90.03
2.5,1.5,3.0,6,6,6,6,6,84.52399999999999
2.5,2.0,3.0,6,6,6,6,6,83.08
2.5,2.5,3.0,6,6,6,6,6,82.229

3.0,0.5,3.0,6,6,6,6,6,124.45299999999999
3.0,1.0,3.0,6,6,6,6,6,85.315
3.0,1.5,3.0,6,6,6,6,6,79.63499999999999
3.0,2.0,3.0,6,6,6,6,6,78.273
3.0,2.5,3.0,6,6,6,6,6,77.60400000000001
