freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
1.0,1.0,3.5,1,1,1,1,1,72.444
1.0,1.5,3.5,1,1,1,1,1,72.392
1.0,2.0,3.5,1,1,1,1,1,71.594
1.0,2.5,3.5,1,1,1,1,1,71.456
1.0,3.0,3.5,1,1,1,1,1,71.355
1.5,1.0,3.5,1,1,1,1,1,55.384
1.5,2.0,3.5,1,1,1,1,1,53.821
1.5,1.5,3.5,1,1,1,1,1,53.5
1.5,2.5,3.5,1,1,1,1,1,53.345
1.5,3.0,3.5,1,1,1,1,1,53.073
2.0,1.0,3.5,1,1,1,1,1,46.049
2.0,1.5,3.5,1,1,1,1,1,45.151
2.0,2.5,3.5,1,1,1,1,1,44.241
2.0,2.0,3.5,1,1,1,1,1,44.206
2.0,3.0,3.5,1,1,1,1,1,44.153
2.5,1.0,3.5,1,1,1,1,1,41.03
2.5,1.5,3.5,1,1,1,1,1,39.83
2.5,2.0,3.5,1,1,1,1,1,39.135
2.5,3.0,3.5,1,1,1,1,1,38.767
2.5,2.5,3.5,1,1,1,1,1,38.675
3.0,1.0,3.5,1,1,1,1,1,37.632
3.0,1.5,3.5,1,1,1,1,1,36.243
3.0,2.0,3.5,1,1,1,1,1,35.682
3.5,1.0,3.5,1,1,1,1,1,35.445
3.0,2.5,3.5,1,1,1,1,1,35.389
3.0,3.0,3.5,1,1,1,1,1,35.009
3.5,1.5,3.5,1,1,1,1,1,34.263
4.0,1.0,3.5,1,1,1,1,1,33.878
3.5,2.0,3.5,1,1,1,1,1,33.676
3.5,2.5,3.5,1,1,1,1,1,33.41
3.5,3.0,3.5,1,1,1,1,1,33.23
4.0,1.5,3.5,1,1,1,1,1,33.006
4.0,2.0,3.5,1,1,1,1,1,32.247
4.0,2.5,3.5,1,1,1,1,1,32.136
4.0,3.0,3.5,1,1,1,1,1,32.007
