freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
3.0,2.0,3.5,11,11,11,11,11,39.852
3.0,2.0,3.5,11,11,11,11,7,39.689
3.0,2.0,3.5,11,11,11,7,11,39.684
3.0,2.0,3.5,11,7,11,11,11,39.542
3.0,2.0,3.5,11,11,7,11,11,39.538
3.0,2.0,3.5,11,11,11,11,3,39.502
3.0,2.0,3.5,11,11,11,3,11,39.501
3.0,2.0,3.5,11,11,11,7,7,39.489
3.0,2.0,3.5,7,11,11,11,11,39.437
3.0,2.0,3.5,11,11,7,11,7,39.364
3.0,2.0,3.5,11,11,7,7,11,39.36
3.0,2.0,3.5,11,7,11,11,7,39.356
3.0,2.0,3.5,11,7,11,7,11,39.347
3.0,2.0,3.5,11,11,11,3,7,39.292
3.0,2.0,3.5,11,11,11,7,3,39.291
3.0,2.0,3.5,11,3,11,11,11,39.263
3.0,2.0,3.5,11,11,3,11,11,39.247
3.0,2.0,3.5,11,11,7,11,3,39.193
3.0,2.0,3.5,11,7,11,3,11,39.178
3.0,2.0,3.5,11,7,11,7,7,39.17
3.0,2.0,3.5,11,11,7,7,7,39.16
3.0,2.0,3.5,11,7,11,11,3,39.137
3.0,2.0,3.5,11,11,7,3,11,39.135
3.0,2.0,3.5,11,7,7,11,11,39.133
3.0,2.0,3.5,7,11,7,11,11,39.112
3.0,2.0,3.5,7,7,11,11,11,39.107
3.0,2.0,3.5,11,3,11,7,11,39.084
3.0,2.0,3.5,7,11,11,11,7,39.077
3.0,2.0,3.5,7,11,11,7,11,39.073
3.0,2.0,3.5,11,11,3,11,7,39.066
3.0,2.0,3.5,11,11,11,3,3,39.052
3.0,2.0,3.5,11,11,3,7,11,39.049
3.0,2.0,3.5,11,3,11,11,7,39.045
3.0,2.0,3.5,11,7,11,3,7,38.998
3.0,2.0,3.5,11,11,7,7,3,38.996
3.0,2.0,3.5,11,11,7,3,7,38.967
3.0,2.0,3.5,11,7,7,7,11,38.965
3.0,2.0,3.5,3,11,11,11,11,38.956
3.0,2.0,3.5,11,7,7,11,7,38.955
3.0,2.0,3.5,11,7,11,7,3,38.947
3.0,2.0,3.5,11,11,3,11,3,38.924
3.0,2.0,3.5,11,3,11,3,11,38.914
3.0,2.0,3.5,7,11,11,11,3,38.914
3.0,2.0,3.5,7,11,11,3,11,38.911
3.0,2.0,3.5,11,3,11,7,7,38.893
3.0,2.0,3.5,11,11,3,7,7,38.88
3.0,2.0,3.5,11,3,7,11,11,38.871
3.0,2.0,3.5,11,7,3,11,11,38.856
3.0,2.0,3.5,11,3,11,11,3,38.852
3.0,2.0,3.5,7,11,3,11,11,38.847
3.0,2.0,3.5,11,11,3,3,11,38.846
3.0,2.0,3.5,7,3,11,11,11,38.846
3.0,2.0,3.5,7,7,11,7,11,38.796
3.0,2.0,3.5,7,11,7,11,7,38.796
3.0,2.0,3.5,11,7,7,3,11,38.796
3.0,2.0,3.5,11,7,7,11,3,38.791
3.0,2.0,3.5,11,7,11,3,3,38.782
3.0,2.0,3.5,11,11,7,3,3,38.778
3.0,2.0,3.5,11,7,7,7,7,38.777
3.0,2.0,3.5,11,3,11,3,7,38.746
3.0,2.0,3.5,7,7,11,11,7,38.739
3.0,2.0,3.5,7,7,7,11,11,38.727
3.0,2.0,3.5,7,11,7,7,11,38.724
3.0,2.0,3.5,11,3,11,7,3,38.707
3.0,2.0,3.5,11,11,3,3,7,38.702
3.0,2.0,3.5,11,7,3,11,7,38.702
3.0,2.0,3.5,11,11,3,7,3,38.697
3.0,2.0,3.5,11,3,7,7,11,38.695
3.0,2.0,3.5,3,11,7,11,11,38.689
