freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
2.0,1.0,3.5,1,1,1,1,1,75.688
2.0,1.5,3.5,1,1,1,1,1,68.882
2.5,1.0,3.5,1,1,1,1,1,68.826
2.0,2.0,3.5,1,1,1,1,1,64.865
3.0,1.0,3.5,1,1,1,1,1,64.149
2.0,2.5,3.5,1,1,1,1,1,64.001
2.5,1.5,3.5,1,1,1,1,1,61.621
3.5,1.0,3.5,1,1,1,1,1,61.109
4.0,1.0,3.5,1,1,1,1,1,58.903
2.5,2.0,3.5,1,1,1,1,1,57.943
4.5,1.0,3.5,1,1,1,1,1,57.471
3.0,1.5,3.5,1,1,1,1,1,56.748
2.5,2.5,3.5,1,1,1,1,1,56.542
3.5,1.5,3.5,1,1,1,1,1,53.931
3.0,2.0,3.5,1,1,1,1,1,53.233
4.0,1.5,3.5,1,1,1,1,1,52.091
3.0,2.5,3.5,1,1,1,1,1,51.985
4.5,1.5,3.5,1,1,1,1,1,50.58
3.5,2.0,3.5,1,1,1,1,1,50.339
3.5,2.5,3.5,1,1,1,1,1,49.141
4.0,2.0,3.5,1,1,1,1,1,48.372
4.0,2.5,3.5,1,1,1,1,1,47.306
4.5,2.0,3.5,1,1,1,1,1,46.965
4.5,2.5,3.5,1,1,1,1,1,45.786
