freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,ms
3.0,2.0,3.5,11,11,11,11,11,69.467
3.0,2.0,3.5,11,11,7,11,11,69.053
3.0,2.0,3.5,7,11,11,11,11,68.769
3.0,2.0,3.5,11,3,7,11,11,68.357
3.0,2.0,3.5,11,7,3,11,11,68.334
3.0,2.0,3.5,11,3,3,11,11,67.994
3.0,2.0,3.5,11,11,11,11,7,67.658
3.0,2.0,3.5,11,11,11,7,11,67.588
3.0,2.0,3.5,11,7,11,7,11,67.293
3.0,2.0,3.5,11,11,7,11,7,67.233
3.0,2.0,3.5,11,11,7,7,11,67.198
3.0,2.0,3.5,11,3,11,11,7,66.979
3.0,2.0,3.5,7,7,11,11,11,66.91
3.0,2.0,3.5,11,11,3,7,11,66.857
3.0,2.0,3.5,11,7,7,11,7,66.825
3.0,2.0,3.5,7,11,7,11,11,66.816
3.0,2.0,3.5,7,11,11,11,7,66.739
3.0,2.0,3.5,7,11,11,7,11,66.66
3.0,2.0,3.5,7,3,11,11,11,66.624
3.0,2.0,3.5,11,7,3,11,7,66.552
3.0,2.0,3.5,11,3,7,11,7,66.538
3.0,2.0,3.5,7,11,3,11,11,66.53
3.0,2.0,3.5,11,3,7,7,11,66.505
3.0,2.0,3.5,11,7,3,7,11,66.496
3.0,2.0,3.5,3,11,7,11,11,66.148
3.0,2.0,3.5,11,3,3,11,7,66.115
3.0,2.0,3.5,11,3,3,7,11,66.105
3.0,2.0,3.5,3,11,11,11,7,66.1
3.0,2.0,3.5,11,11,11,3,11,65.948
3.0,2.0,3.5,11,11,11,7,7,65.813
3.0,2.0,3.5,11,7,11,11,3,65.734
3.0,2.0,3.5,11,7,11,3,11,65.637
3.0,2.0,3.5,11,11,3,11,3,65.406
3.0,2.0,3.5,11,11,7,7,7,65.402
3.0,2.0,3.5,11,3,11,11,3,65.391
3.0,2.0,3.5,11,7,7,11,3,65.293
3.0,2.0,3.5,11,11,3,3,11,65.211
3.0,2.0,3.5,11,3,11,7,7,65.178
3.0,2.0,3.5,7,11,11,3,11,65.05
3.0,2.0,3.5,11,7,7,7,7,64.997
3.0,2.0,3.5,11,7,3,11,3,64.955
3.0,2.0,3.5,7,11,7,11,7,64.927
3.0,2.0,3.5,7,7,11,7,11,64.893
3.0,2.0,3.5,7,7,11,11,7,64.889
3.0,2.0,3.5,11,3,7,3,11,64.883
3.0,2.0,3.5,11,7,3,3,11,64.827
3.0,2.0,3.5,7,11,7,7,11,64.76
3.0,2.0,3.5,11,3,7,7,7,64.679
3.0,2.0,3.5,7,11,11,7,7,64.666
3.0,2.0,3.5,7,3,11,11,7,64.632
3.0,2.0,3.5,7,3,7,11,11,64.632
3.0,2.0,3.5,3,3,11,11,11,64.63
3.0,2.0,3.5,7,7,3,11,11,64.617
3.0,2.0,3.5,7,3,11,7,11,64.588
3.0,2.0,3.5,7,11,3,11,7,64.584
3.0,2.0,3.5,3,11,3,11,11,64.523
3.0,2.0,3.5,11,3,3,3,11,64.487
3.0,2.0,3.5,7,11,3,7,11,64.45
3.0,2.0,3.5,3,11,11,11,3,64.392
3.0,2.0,3.5,11,3,3,7,7,64.284
3.0,2.0,3.5,3,7,11,11,7,64.233
3.0,2.0,3.5,3,7,7,11,11,64.229
3.0,2.0,3.5,7,3,3,11,11,64.222
3.0,2.0,3.5,3,11,7,11,7,64.175
3.0,2.0,3.5,11,11,11,3,7,64.156
3.0,2.0,3.5,3,11,7,7,11,64.1
3.0,2.0,3.5,11,7,11,7,3,63.857
3.0,2.0,3.5,11,11,7,3,7,63.756
3.0,2.0,3.5,11,3,11,7,3,63.623
3.0,2.0,3.5,11,3,11,3,7,63.612
3.0,2.0,3.5,11,7,7,7,3,63.488
3.0,2.0,3.5,11,11,3,3,7,63.482
3.0,2.0,3.5,11,7,7,3,7,63.432
3.0,2.0,3.5,7,11,7,11,3,63.383
3.0,2.0,3.5,7,7,11,11,3,63.359
3.0,2.0,3.5,7,7,11,3,11,63.25
3.0,2.0,3.5,7,11,7,3,11,63.226
3.0,2.0,3.5,11,7,3,7,3,63.133
3.0,2.0,3.5,7,11,11,7,3,63.129
3.0,2.0,3.5,11,3,7,3,7,63.097
3.0,2.0,3.5,7,11,11,3,7,63.056
3.0,2.0,3.5,7,3,11,11,3,63.03
3.0,2.0,3.5,7,7,7,7,11,62.922
3.0,2.0,3.5,11,3,3,7,3,62.754
3.0,2.0,3.5,11,3,3,3,7,62.732
3.0,2.0,3.5,3,3,7,11,11,62.687
3.0,2.0,3.5,7,7,3,11,7,62.68
3.0,2.0,3.5,7,3,7,11,7,62.673
3.0,2.0,3.5,3,7,3,11,11,62.632
3.0,2.0,3.5,3,3,11,7,11,62.614
3.0,2.0,3.5,7,3,7,7,11,62.613
3.0,2.0,3.5,7,7,3,7,11,62.573
3.0,2.0,3.5,7,11,3,7,7,62.496
3.0,2.0,3.5,7,3,11,7,7,62.486
3.0,2.0,3.5,3,7,11,11,3,62.477
3.0,2.0,3.5,3,11,3,7,11,62.476
3.0,2.0,3.5,3,11,11,7,3,62.32
3.0,2.0,3.5,7,3,3,11,7,62.317
3.0,2.0,3.5,3,7,7,11,7,62.301
3.0,2.0,3.5,3,11,7,3,11,62.286
3.0,2.0,3.5,11,11,7,3,3,62.252
3.0,2.0,3.5,7,3,3,7,11,62.226
3.0,2.0,3.5,3,7,11,7,7,62.172
3.0,2.0,3.5,3,11,7,7,7,62.111
3.0,2.0,3.5,11,3,11,3,3,61.994
3.0,2.0,3.5,11,7,7,3,3,61.827
3.0,2.0,3.5,11,3,7,3,3,61.53
3.0,2.0,3.5,7,11,11,3,3,61.509
3.0,2.0,3.5,7,7,7,3,11,61.371
3.0,2.0,3.5,7,7,11,7,3,61.331
3.0,2.0,3.5,7,7,11,3,7,61.252
3.0,2.0,3.5,7,11,7,7,3,61.25
3.0,2.0,3.5,7,7,3,11,3,61.174
3.0,2.0,3.5,11,3,3,3,3,61.147
3.0,2.0,3.5,7,3,7,11,3,61.115
3.0,2.0,3.5,7,3,7,3,11,61.067
3.0,2.0,3.5,7,3,11,3,7,61.014
3.0,2.0,3.5,7,3,11,7,3,61.012
3.0,2.0,3.5,7,7,3,3,11,60.974
3.0,2.0,3.5,7,11,3,7,3,60.973
3.0,2.0,3.5,7,7,7,7,7,60.941
3.0,2.0,3.5,3,11,3,11,3,60.922
3.0,2.0,3.5,3,3,11,3,11,60.788
3.0,2.0,3.5,3,3,7,11,7,60.782
3.0,2.0,3.5,3,11,3,3,11,60.748
3.0,2.0,3.5,3,7,3,7,11,60.638
3.0,2.0,3.5,7,7,3,7,7,60.612
3.0,2.0,3.5,3,11,11,3,3,60.532
3.0,2.0,3.5,3,7,11,7,3,60.487
3.0,2.0,3.5,3,11,7,7,3,60.423
3.0,2.0,3.5,3,7,11,3,7,60.38
3.0,2.0,3.5,3,11,7,3,7,60.371
3.0,2.0,3.5,3,7,7,7,7,60.27
3.0,2.0,3.5,7,3,3,7,7,60.265
3.0,2.0,3.5,7,7,11,3,3,59.737
3.0,2.0,3.5,7,3,11,3,3,59.438
3.0,2.0,3.5,7,7,7,3,7,59.397
3.0,2.0,3.5,7,11,3,3,3,59.396
3.0,2.0,3.5,3,3,3,11,7,59.166
3.0,2.0,3.5,7,3,7,3,7,59.096
3.0,2.0,3.5,3,3,7,11,3,59.073
3.0,2.0,3.5,3,3,3,7,11,59.058
3.0,2.0,3.5,7,7,3,3,7,59.03
3.0,2.0,3.5,3,3,7,3,11,58.871
3.0,2.0,3.5,3,3,11,3,7,58.853
3.0,2.0,3.5,3,7,3,3,11,58.825
3.0,2.0,3.5,3,11,3,3,7,58.77
3.0,2.0,3.5,3,7,11,3,3,58.698
3.0,2.0,3.5,7,3,3,3,7,58.677
3.0,2.0,3.5,3,7,3,7,7,58.671
3.0,2.0,3.5,3,11,7,3,3,58.65
3.0,2.0,3.5,3,7,7,7,3,58.548
3.0,2.0,3.5,3,7,7,3,7,58.451
3.0,2.0,3.5,7,7,7,3,3,57.901
3.0,2.0,3.5,7,7,3,3,3,57.555
3.0,2.0,3.5,3,3,3,11,3,57.498
3.0,2.0,3.5,7,3,3,3,3,57.205
3.0,2.0,3.5,3,3,3,7,7,57.145
3.0,2.0,3.5,3,3,7,7,3,57.083
3.0,2.0,3.5,3,7,3,3,7,56.942
3.0,2.0,3.5,3,7,7,3,3,56.784
3.0,2.0,3.5,3,3,3,7,3,55.549
3.0,2.0,3.5,3,3,3,3,7,55.429
3.0,2.0,3.5,3,3,3,3,3,53.796
3.0,2.0,3.5,11,7,11,11,11,69.123
3.0,2.0,3.5,11,3,11,11,11,68.809
3.0,2.0,3.5,11,11,3,11,11,68.721
3.0,2.0,3.5,11,7,7,11,11,68.617
3.0,2.0,3.5,3,11,11,11,11,68.034
3.0,2.0,3.5,11,7,11,11,7,67.284
3.0,2.0,3.5,11,3,11,7,11,66.955
3.0,2.0,3.5,11,11,3,11,7,66.937
3.0,2.0,3.5,11,7,7,7,11,66.802
3.0,2.0,3.5,3,7,11,11,11,66.197
3.0,2.0,3.5,11,11,11,11,3,66.071
3.0,2.0,3.5,3,11,11,7,11,65.982
3.0,2.0,3.5,11,11,7,11,3,65.668
3.0,2.0,3.5,11,11,7,3,11,65.551
3.0,2.0,3.5,11,7,11,7,7,65.474
3.0,2.0,3.5,11,3,11,3,11,65.395
3.0,2.0,3.5,11,7,7,3,11,65.19
3.0,2.0,3.5,7,11,11,11,3,65.181
3.0,2.0,3.5,11,11,3,7,7,65.089
3.0,2.0,3.5,11,3,7,11,3,64.93
3.0,2.0,3.5,7,7,7,11,11,64.928
3.0,2.0,3.5,11,7,3,7,7,64.661
3.0,2.0,3.5,11,3,3,11,3,64.553
3.0,2.0,3.5,11,11,11,7,3,64.218
3.0,2.0,3.5,3,11,11,3,11,64.167
3.0,2.0,3.5,3,7,11,7,11,64.119
3.0,2.0,3.5,3,11,11,7,7,64.034
3.0,2.0,3.5,11,11,7,7,3,63.854
3.0,2.0,3.5,11,7,11,3,7,63.848
3.0,2.0,3.5,11,11,3,7,3,63.579
3.0,2.0,3.5,11,3,7,7,3,63.131
3.0,2.0,3.5,11,7,3,3,7,63.082
3.0,2.0,3.5,7,11,3,11,3,63.013
3.0,2.0,3.5,7,7,7,11,7,63.0
3.0,2.0,3.5,7,3,11,3,11,62.95
3.0,2.0,3.5,7,7,11,7,7,62.849
3.0,2.0,3.5,7,11,3,3,11,62.815
3.0,2.0,3.5,7,11,7,7,7,62.792
3.0,2.0,3.5,3,3,11,11,7,62.678
3.0,2.0,3.5,3,11,3,11,7,62.634
3.0,2.0,3.5,11,11,11,3,3,62.59
3.0,2.0,3.5,3,11,7,11,3,62.495
3.0,2.0,3.5,3,7,11,3,11,62.312
3.0,2.0,3.5,11,7,11,3,3,62.256
3.0,2.0,3.5,3,11,11,3,7,62.236
3.0,2.0,3.5,3,7,7,7,11,62.231
3.0,2.0,3.5,11,11,3,3,3,61.931
3.0,2.0,3.5,11,7,3,3,3,61.514
3.0,2.0,3.5,7,7,7,11,3,61.463
3.0,2.0,3.5,7,11,7,3,7,61.247
3.0,2.0,3.5,3,3,3,11,11,61.044
3.0,2.0,3.5,3,3,11,11,3,60.952
3.0,2.0,3.5,7,11,3,3,7,60.934
3.0,2.0,3.5,7,3,3,11,3,60.78
3.0,2.0,3.5,3,7,3,11,7,60.76
3.0,2.0,3.5,3,3,7,7,11,60.713
3.0,2.0,3.5,7,3,3,3,11,60.66
3.0,2.0,3.5,7,3,7,7,7,60.653
3.0,2.0,3.5,3,3,11,7,7,60.643
3.0,2.0,3.5,3,7,7,11,3,60.623
3.0,2.0,3.5,3,11,3,7,7,60.581
3.0,2.0,3.5,3,7,7,3,11,60.47
3.0,2.0,3.5,7,11,7,3,3,59.686
3.0,2.0,3.5,7,7,7,7,3,59.459
3.0,2.0,3.5,7,3,7,7,3,59.166
3.0,2.0,3.5,7,7,3,7,3,59.125
3.0,2.0,3.5,3,7,3,11,3,59.045
3.0,2.0,3.5,3,3,11,7,3,58.949
3.0,2.0,3.5,3,11,3,7,3,58.905
3.0,2.0,3.5,7,3,3,7,3,58.739
3.0,2.0,3.5,3,3,7,7,7,58.713
3.0,2.0,3.5,7,3,7,3,3,57.568
3.0,2.0,3.5,3,3,3,3,11,57.333
3.0,2.0,3.5,3,3,11,3,3,57.143
3.0,2.0,3.5,3,11,3,3,3,57.113
3.0,2.0,3.5,3,7,3,7,3,57.057
3.0,2.0,3.5,3,3,7,3,7,56.981
3.0,2.0,3.5,3,7,3,3,3,55.31
3.0,2.0,3.5,3,3,7,3,3,55.298
