freq_cpu,freq_gpu,freq_ruby,latency_0,latency_1,latency_2,latency_3,latency_4,power_gpu,ms
2.5,0.5,3.0,6,6,6,6,6,295.469,128.979
2.5,0.6,3.0,6,6,6,6,6,353.499,116.027
2.5,0.7,3.0,6,6,6,6,6,414.154,106.625
2.5,0.8,3.0,6,6,6,6,6,472.639,99.709
2.5,0.9,3.0,6,6,6,6,6,529.297,94.468
2.5,1.0,3.0,6,6,6,6,6,587.838,90.03
2.5,1.1,3.0,6,6,6,6,6,647.445,86.736
2.5,1.2,3.0,6,6,6,6,6,658.903,85.991
2.5,1.3,3.0,6,6,6,6,6,668.858,85.401
2.5,1.4,3.0,6,6,6,6,6,676.974,84.962
2.5,1.5,3.0,6,6,6,6,6,685.398,84.524
2.5,2.0,3.0,6,6,6,6,6,712.134,83.08
